STT,Dạng,Nguồn,STT câu gốc,Loại số,Đề bài,Đáp án đúng,Lời giải,Nhận xét,Ghi chú kiểm tra
646,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m+3)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=\dfrac{5}{2}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m+3)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m+3$, kiểm tra điều kiện $|z_0|=\dfrac{5}{2}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=\dfrac{5}{2} \Rightarrow m=\pm\dfrac{5}{2}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm\dfrac{5}{2}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
647,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m-3)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=\dfrac{11}{2}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m-3)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m-3$, kiểm tra điều kiện $|z_0|=\dfrac{11}{2}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=\dfrac{11}{2} \Rightarrow m=\pm\dfrac{11}{2}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm\dfrac{11}{2}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
648,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m+2)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=\dfrac{5}{3}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m+2)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m+2$, kiểm tra điều kiện $|z_0|=\dfrac{5}{3}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=\dfrac{5}{3} \Rightarrow m=\pm\dfrac{5}{3}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm\dfrac{5}{3}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
649,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m-4)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=2 \sqrt{3}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m-4)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m-4$, kiểm tra điều kiện $|z_0|=2 \sqrt{3}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=2 \sqrt{3} \Rightarrow m=\pm2 \sqrt{3}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm2 \sqrt{3}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
650,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m+2)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=3 \sqrt{3}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m+2)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m+2$, kiểm tra điều kiện $|z_0|=3 \sqrt{3}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=3 \sqrt{3} \Rightarrow m=\pm3 \sqrt{3}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm3 \sqrt{3}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
651,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m+4)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=3 \sqrt{2}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m+4)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m+4$, kiểm tra điều kiện $|z_0|=3 \sqrt{2}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=3 \sqrt{2} \Rightarrow m=\pm3 \sqrt{2}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm3 \sqrt{2}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
652,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m+1)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=\sqrt{2}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m+1)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m+1$, kiểm tra điều kiện $|z_0|=\sqrt{2}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=\sqrt{2} \Rightarrow m=\pm\sqrt{2}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm\sqrt{2}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
653,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m-4)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=3 \sqrt{5}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m-4)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m-4$, kiểm tra điều kiện $|z_0|=3 \sqrt{5}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=3 \sqrt{5} \Rightarrow m=\pm3 \sqrt{5}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm3 \sqrt{5}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
654,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,56,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2-2(m-2)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=\sqrt{5}$?

A. $2$.
B. $3$.
C. $4$.
D. $5$.",B. $3$.,"Ta có $\Delta'=(m-2)^2-m^2$.

TH1: $\Delta'=0$: nghiệm kép $z_0=m-2$, kiểm tra điều kiện $|z_0|=\sqrt{5}$.

TH2: $\Delta'<0$: $z_0$ phức, $|z_0|=|m|=\sqrt{5} \Rightarrow m=\pm\sqrt{5}$, kiểm tra lại $\Delta'<0$.

TH3: $\Delta'>0$: $z_0=\pm\sqrt{5}$ là nghiệm thực, thế vào phương trình gốc để giải $m$, kiểm tra lại $\Delta'>0$.

Tổng hợp cả ba trường hợp (loại nghiệm trùng nếu có), ta được 3 giá trị $m$ thỏa mãn.",Đạt,
655,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số nguyên,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=3-6i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=3-6i$ suy ra $z_1=3$, $z_2=-3$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=3-6i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
656,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số nguyên,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=-2+9i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=-2+9i$ suy ra $z_1=-2$, $z_2=\dfrac{9}{2}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=-2+9i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
657,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số nguyên,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=7+7i$?

A. $3$.
B. $4$.
C. $5$.
D. $6$.",B. $4$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=7+7i$ suy ra $z_1=7$, $z_2=\dfrac{7}{2}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=7+7i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 4 cặp $(a;b)$ thỏa mãn.",Đạt,
658,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số nguyên,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=-2-6i$?

A. $3$.
B. $4$.
C. $5$.
D. $6$.",B. $4$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=-2-6i$ suy ra $z_1=-2$, $z_2=-3$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=-2-6i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 4 cặp $(a;b)$ thỏa mãn.",Đạt,
659,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số nguyên,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=-6+7i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=-6+7i$ suy ra $z_1=-6$, $z_2=\dfrac{7}{2}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=-6+7i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
660,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số nguyên,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=7+4i$?

A. $3$.
B. $4$.
C. $5$.
D. $6$.",B. $4$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=7+4i$ suy ra $z_1=7$, $z_2=2$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=7+4i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 4 cặp $(a;b)$ thỏa mãn.",Đạt,
661,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=- \dfrac{10}{3}+\dfrac{1}{2}i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=- \dfrac{10}{3}+\dfrac{1}{2}i$ suy ra $z_1=- \dfrac{10}{3}$, $z_2=\dfrac{1}{4}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=- \dfrac{10}{3}+\dfrac{1}{2}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
662,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=\dfrac{11}{2}+\dfrac{4}{3}i$?

A. $3$.
B. $4$.
C. $5$.
D. $6$.",B. $4$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=\dfrac{11}{2}+\dfrac{4}{3}i$ suy ra $z_1=\dfrac{11}{2}$, $z_2=\dfrac{2}{3}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=\dfrac{11}{2}+\dfrac{4}{3}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 4 cặp $(a;b)$ thỏa mãn.",Đạt,
663,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=\dfrac{5}{3}+\dfrac{7}{2}i$?

A. $3$.
B. $4$.
C. $5$.
D. $6$.",B. $4$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=\dfrac{5}{3}+\dfrac{7}{2}i$ suy ra $z_1=\dfrac{5}{3}$, $z_2=\dfrac{7}{4}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=\dfrac{5}{3}+\dfrac{7}{2}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 4 cặp $(a;b)$ thỏa mãn.",Đạt,
664,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=- \dfrac{11}{4}-\dfrac{7}{3}i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=- \dfrac{11}{4}-\dfrac{7}{3}i$ suy ra $z_1=- \dfrac{11}{4}$, $z_2=- \dfrac{7}{6}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=- \dfrac{11}{4}-\dfrac{7}{3}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
665,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=\dfrac{11}{2}+\dfrac{8}{3}i$?

A. $3$.
B. $4$.
C. $5$.
D. $6$.",B. $4$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=\dfrac{11}{2}+\dfrac{8}{3}i$ suy ra $z_1=\dfrac{11}{2}$, $z_2=\dfrac{4}{3}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=\dfrac{11}{2}+\dfrac{8}{3}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 4 cặp $(a;b)$ thỏa mãn.",Đạt,
666,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số hữu tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=- \dfrac{3}{4}+\dfrac{9}{4}i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=- \dfrac{3}{4}+\dfrac{9}{4}i$ suy ra $z_1=- \dfrac{3}{4}$, $z_2=\dfrac{9}{8}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=- \dfrac{3}{4}+\dfrac{9}{4}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
667,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=2 \sqrt{7}-2i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=2 \sqrt{7}-2i$ suy ra $z_1=2 \sqrt{7}$, $z_2=-1$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=2 \sqrt{7}-2i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
668,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=1-4 \sqrt{2}i$?

A. $1$.
B. $2$.
C. $3$.
D. $4$.",B. $2$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=1-4 \sqrt{2}i$ suy ra $z_1=1$, $z_2=- 2 \sqrt{2}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=1-4 \sqrt{2}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 2 cặp $(a;b)$ thỏa mãn.",Đạt,
669,Dạng 6 - Phương trình bậc hai có tham số,Nhân bản,61,Số vô tỉ,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=-4-3 \sqrt{11}i$?

A. $3$.
B. $4$.
C. $5$.
D. $6$.",B. $4$.,"TH1: $z_1,z_2$ là hai nghiệm thực. Từ $z_1+2iz_2=-4-3 \sqrt{11}i$ suy ra $z_1=-4$, $z_2=- \dfrac{3 \sqrt{11}}{2}$. Theo Vi-ét, $-4a=z_1+z_2$ và $b^2+2=z_1z_2$, giải ra $(a;b)$ nếu tồn tại.

TH2: $z_1,z_2$ là hai nghiệm phức liên hợp, đặt $z_1=x+yi$, $z_2=x-yi$. Từ $z_1+2iz_2=-4-3 \sqrt{11}i$, cân bằng phần thực/ảo ta được hệ phương trình bậc nhất theo $x,y$, giải ra $x,y$ rồi suy ra $(a;b)$ qua Vi-ét (nếu $y\ne0$ và $b^2\ge0$).

Tổng hợp cả hai trường hợp, ta được 4 cặp $(a;b)$ thỏa mãn.",Đạt,
