STT,Định danh,Chủ đề,Đề bài (chuyển đổi),Đáp án (chuyển đổi),Lời giải (chuyển đổi),Nhận xét A,Nhận xét B,Ghi chú lỗi chuyển markdown
100,KT-34 (Trang 156 - Câu 22),Hàm số - Đạo hàm - Khảo sát,"Số tiệm cận đứng của đồ thị hàm số $y = \dfrac{\sqrt{x+4}-2}{x^2+x}$ là
A. $3$.
B. $0$.
C. $2$.
D. $1$.",D. $1$.,"Tập xác định hàm số $\mathscr{D} = [-4;+\infty) \setminus \{-1;0\}$.
Ta có $\lim_{x\to -1^+} y = +\infty$, $\lim_{x\to 0^+} y = 1$ và $\lim_{x\to 0^-} y = 1$.
Suy ra đồ thị hàm số chỉ có 1 tiệm cận đứng là $x=-1$.",,,"[Lỗi toán học trong tài liệu gốc] Trong lời giải, giá trị giới hạn tại x=0 bị sai: ghi ""lim(x→0+) y = 1 và lim(x→0-) y = 1"", nhưng giá trị đúng phải là 1/4 (vì y = (√(x+4)-2)/(x²+x) = 1/[(x+1)(√(x+4)+2)] → 1/(1·4) = 1/4 khi x→0). Lỗi này ĐÃ CÓ SẴN trong ảnh gốc (trang 156), bản chuyển đổi chép trung thực nên không phải lỗi chuyển đổi. Không ảnh hưởng đáp án cuối (vẫn là D. 1, vì tại x=0 giới hạn hữu hạn nên không có tiệm cận, chỉ có 1 tiệm cận đứng x=-1). Nên sửa ""= 1"" thành ""= 1/4"" cho đúng."
101,KT-35 (Trang 165 - Câu 44),Hình giải tích Oxyz,"Trong không gian $Oxyz$ cho đường thẳng $d: \begin{cases} x=1+3t \\ y=-3 \\ z=5+4t \end{cases}$. Gọi $\Delta$ là đường thẳng đi qua điểm $A(1;-3;5)$ và có véc-tơ chỉ phương là $\vec{u}=(1;2;-2)$. Đường phân giác góc nhọn tạo bởi hai đường thẳng $d$ và $\Delta$ là
A. $\begin{cases} x=-1+2t \\ y=2-5t \\ z=6+11t \end{cases}$.
B. $\begin{cases} x=-1+2t \\ y=2-5t \\ z=-6+11t \end{cases}$.
C. $\begin{cases} x=1+7t \\ y=3-5t \\ z=5+t \end{cases}$.
D. $\begin{cases} x=1-t \\ y=-3 \\ z=5+7t \end{cases}$.",B. $\begin{cases} x=-1+2t \\ y=2-5t \\ z=-6+11t \end{cases}$.,"Ta có điểm $A(1;-3;5)$ thuộc đường thẳng $d$ nên $A$ là giao điểm của $d$ và $\Delta$.
Một véc-tơ chỉ phương của đường thẳng $d$ là $\vec{v} = (-3;0;-4)$.
Đặt $\vec{u'} = \dfrac{1}{|\vec u|}\vec u = \left(\dfrac{1}{3};\dfrac{2}{3};-\dfrac{2}{3}\right)$, $\vec{v'} = \dfrac{1}{|\vec v|}\vec v = \left(-\dfrac{3}{5};0;-\dfrac{4}{5}\right)$. Ta có $\vec{u'}\cdot\vec{v'}>0$ nên góc tạo bởi hai véc-tơ $\vec{u'}, \vec{v'}$ là góc nhọn tạo bởi $d$ và $\Delta$.
Suy ra $\vec w = \vec{u'}+\vec{v'} = \left(-\dfrac{4}{15};\dfrac{10}{15};-\dfrac{22}{15}\right) = -\dfrac{2}{15}(2;-5;11)$ là véc-tơ chỉ phương của đường phân giác cần tìm. Phương trình đường phân giác cần tìm là
$\begin{cases} x=1+2t \\ y=-3-5t \\ z=5+11t. \end{cases}$
Chọn $t=-2$ suy ra điểm $M(-1;2;-6)$ thuộc đường phân giác. Khi đó, đường phân giác có phương trình
$\begin{cases} x=-1+2t \\ y=2-5t \\ z=-6+11t. \end{cases}$",,,"[Lỗi toán học trong tài liệu gốc] Trong lời giải ghi ""Chọn t=-2 suy ra điểm M(-1;2;-6)"", nhưng với phương trình tham số x=1+2t, y=-3-5t, z=5+11t thì điểm M(-1;2;-6) ứng với t=-1 chứ không phải t=-2 (t=-2 cho ra (-3;7;-17)). Đây là lỗi typo số liệu CÓ SẴN trong ảnh gốc (trang 166), bản chuyển đổi chép trung thực nên không phải lỗi chuyển đổi. Không ảnh hưởng đáp án cuối (vẫn là B). Nên sửa ""t=-2"" thành ""t=-1""."
102,KT-36 (Trang 172 - Câu 11),Cấp số,"Cho cấp số cộng $(u_n)$ với $u_1=2$ và $u_2=8$. Công sai của cấp số cộng đã cho bằng
A. $4$.
B. $-6$.
C. $10$.
D. $6$.",D. $6$.,Vì $(u_n)$ là cấp số cộng nên ta có $u_2 = u_1 + d \Leftrightarrow d = u_2 - u_1 = 8-2=6$.,,,
103,KT-37 (Trang 181 - Câu 40),Xác suất - Tổ hợp,"Chọn ngẫu nhiên hai số khác nhau từ 27 số nguyên dương đầu tiên. Xác suất để chọn được hai số có tổng là một số chẵn bằng
A. $\dfrac{13}{27}$.
B. $\dfrac{14}{27}$.
C. $\dfrac{1}{2}$.
D. $\dfrac{365}{729}$.",A. $\dfrac{13}{27}$.,"Gọi $A$ là tập hợp 27 số nguyên dương đầu tiên, ta có $A = \{1;2;3;\ldots;26;27\}$.
Phép thử chọn ngẫu nhiên hai số khác nhau từ $A$ có $n(\Omega) = \mathrm{C}_{27}^2 = 351$.
Tổng hai số chọn được là số chẵn khi và chỉ khi cả hai số đó đều chẵn hoặc đều lẻ. Do đó ta có các khả năng sau:
- Hai số lấy được từ $A$ là hai số chẵn, có $\mathrm{C}_{13}^2 = 78$ khả năng.
- Hai số lấy được từ $A$ là hai số lẻ, có $\mathrm{C}_{14}^2 = 91$ khả năng.
Do đó khả năng để chọn được hai số có tổng là một số chẵn là $78+91=169$.
Xác suất cần tìm là $p(A) = \dfrac{169}{351} = \dfrac{13}{27}$.",,,
104,KT-38 (Trang 212 - Câu 34),Hình giải tích Oxyz,"Trong không gian $Oxyz$, cho điểm $M(2;1;-1)$ và mặt phẳng $(P): x-3y+2z+1=0$. Đường thẳng đi qua $M$ và vuông góc với $(P)$ có phương trình là
A. $\dfrac{x-2}{1} = \dfrac{y-1}{-3} = \dfrac{z+1}{1}$.
B. $\dfrac{x-2}{1} = \dfrac{y-1}{-3} = \dfrac{z+1}{2}$.
C. $\dfrac{x+2}{1} = \dfrac{y+1}{-3} = \dfrac{z-1}{1}$.
D. $\dfrac{x+2}{1} = \dfrac{y+1}{-3} = \dfrac{z-1}{2}$.",B. $\dfrac{x-2}{1} = \dfrac{y-1}{-3} = \dfrac{z+1}{2}$.,"Đường thẳng $d$ đi qua $M(2;1;-1)$ và vuông với $(P)$ nên có véc-tơ chỉ phương $\vec{u} = \vec{n}_P = (1;-3;2)$.
Do đó $d$ có phương trình là $\dfrac{x-2}{1} = \dfrac{y-1}{-3} = \dfrac{z+1}{2}$.",,,
105,KT-39 (Trang 236 - Câu 9),Cấp số,"Cho cấp số nhân $(u_n)$ với $u_1=1$ và $u_2=2$. Công bội của cấp số nhân đã cho là
A. $q=\dfrac{1}{2}$.
B. $q=2$.
C. $q=-2$.
D. $q=-\dfrac{1}{2}$.",B. $q=2$.,"Ta có $u_2 = u_1 \cdot q \Rightarrow q = \dfrac{u_2}{u_1} = 2$.
Vậy $q=2$.",,,
106,KT-40 (Trang 238 - Câu 18),Xác suất - Tổ hợp,"Số các tổ hợp chập 3 của 12 phần tử là
A. $1320$.
B. $36$.
C. $220$.
D. $1728$.",C. $220$.,Số các tổ hợp chập 3 của 12 phần tử là $\mathrm{C}_{12}^3 = 220$.,,,
107,KT-41 (Trang 241 - Câu 38),Xác suất - Tổ hợp,"Chọn ngẫu nhiên một số từ tập hợp các số tự nhiên thuộc đoạn $[40;60]$. Xác suất để chọn được số có chữ số hàng đơn vị lớn hơn chữ số hàng chục bằng
A. $\dfrac{4}{7}$.
B. $\dfrac{2}{5}$.
C. $\dfrac{3}{5}$.
D. $\dfrac{3}{7}$.",D. $\dfrac{3}{7}$.,"Gọi số tự nhiên chọn được theo yêu cầu có dạng $\overline{ab}$, ta có:
Với $a=4 \Rightarrow b \in \{5;6;7;8;9\}$.
Với $a=5 \Rightarrow b\in\{6;7;8;9\}$.
$\Rightarrow$ Có 9 số thỏa mãn yêu cầu.
Vậy xác suất chọn được số theo yêu cầu đề bài là $P = \dfrac{9}{21} = \dfrac{3}{7}$.",,,
108,KT-42 (Trang 5 - Câu 11),Hàm số - Đạo hàm - Khảo sát,"Tìm tất cả các giá trị thực của tham số $m$ sao cho hàm số $y = \dfrac{\tan x - 2}{\tan x - m}$ đồng biến trên khoảng $\left(0; \dfrac{\pi}{4}\right)$.
A. $m \le 0$ hoặc $1 \le m < 2$.
B. $m \le 0$.
C. $1 \le m < 2$.
D. $m \ge 2$.",A. m ≤ 0 hoặc 1 ≤ m < 2.,"Đặt $t = \tan x$, khi đó $t \in (0;1)$.
Ta được hàm số $y = \dfrac{t-2}{t-m}$ với $0 < t < 1$.
Khi đó $y' = \dfrac{(2-m)}{(t-m)^2}$.
Hàm số đồng biến trên $(0;1)$ thì $\begin{cases} y' > 0 \\ m \notin (0;1) \end{cases} \Leftrightarrow \begin{cases} m < 2 \\ m \notin (0;1) \end{cases} \Leftrightarrow \begin{bmatrix} 1 \le m < 2 \\ m \le 0. \end{bmatrix}$",,,
109,KT-43 (Trang 9 - Câu 25),Tích phân - Nguyên hàm,"Tích phân $I = \displaystyle\int_{0}^{\pi} \cos^3 x \cdot \sin x \, \mathrm{d}x$.
A. $I = -\dfrac{1}{4}\pi^4$.
B. $I = -\pi^4$.
C. $I = 0$.
D. $I = -\dfrac{1}{4}$.",C. I = 0.,"Đặt $u = \cos x \Rightarrow \mathrm{d}u = -\sin x\,\mathrm{d}x \Rightarrow \sin x\,\mathrm{d}x = -\mathrm{d}u$.
• Đổi cận: $x=0 \Rightarrow u=1$; $x=\pi \Rightarrow u=-1$.
• Nên $I = \displaystyle\int_{1}^{-1} u^3 \cdot (-\mathrm{d}u) = \int_{-1}^{1} u^3\,\mathrm{d}u = \dfrac{1}{4}u^4\Big|_{-1}^{1} = 0$.",,,
110,KT-44 (Trang 14 - Câu 44),Hình giải tích Oxyz,"Trong không gian với hệ tọa độ $Oxyz$, cho mặt cầu $(S): (x+1)^2+(y-2)^2+(z-1)^2 = 9$. Tìm tọa độ tâm $I$ và bán kính $R$ của $(S)$.
A. $I(-1;2;1)$ và $R = 3$.
B. $I(1;-2;-1)$ và $R = 3$.
C. $I(-1;2;1)$ và $R = 9$.
D. $I(1;-2;-1)$ và $R = 9$.",A. I(-1;2;1) và R = 3.,Dựa vào dạng tổng quát của phương trình mặt cầu $(x-a)^2+(y-b)^2+(z-c)^2 = R^2$.,,,
111,KT-45 (Trang 47 - Câu 4),Hình học không gian,"Thể tích của khối chóp có chiều cao bằng $h$ và diện tích đáy bằng $B$ là
A. $V = \dfrac{1}{3}Bh$.
B. $V = \dfrac{1}{6}Bh$.
C. $V = Bh$.
D. $V = \dfrac{1}{2}Bh$.",A. V = 1/3 Bh.,Dựa vào công thức tính thể tích khối chóp ta có $V = \dfrac{1}{3}Bh$.,,,
112,KT-46 (Trang 50 - Câu 16),Hàm số - Đạo hàm - Khảo sát,"Đồ thị của hàm số nào dưới đây có tiệm cận đứng?
A. $y = \dfrac{x^2-3x+2}{x-1}$.
B. $y = \dfrac{x^2}{x^2+1}$.
C. $y = \sqrt{x^2-1}$.
D. $y = \dfrac{x}{x+1}$.",D. y = x/(x+1).,"• Hàm số $y = \dfrac{x}{x+1}$ có tiệm cận đứng $x=-1$ vì $\lim\limits_{x\to -1^{+}} \dfrac{x}{x+1} = -\infty$; $\lim\limits_{x\to -1^{-}} \dfrac{x}{x+1} = +\infty$.
• Hàm số $y = \dfrac{x^2-3x+2}{x-1}$ xác định trên $\mathscr{D} = (-\infty;1)\cup(1;+\infty)$, nhưng không có tiệm cận đứng vì $\lim\limits_{x\to 1} \dfrac{x^2-3x+2}{x-1} = \lim\limits_{x\to 1}(x-2) = -1$.
• Hàm số $y = \dfrac{x^2}{x^2+1}$ xác định và liên tục trên $\mathbb{R}$ nên không có tiệm cận.
• Hàm số $y = \sqrt{x^2-1}$ xác định trên $\mathscr{D} = (-\infty;-1]\cup[1;+\infty)$ và
$$\lim_{x\to -1^{-}} \sqrt{x^2-1} = \lim_{x\to 1^{+}} \sqrt{x^2-1} = 0$$
nên không có tiệm cận.",,,
113,KT-47 (Trang 60 - Câu 44),Hình giải tích Oxyz,"Trong không gian $Oxyz$, cho hai điểm $A(2,2,1)$, $B\left(-\dfrac{8}{3},\dfrac{4}{3},\dfrac{8}{3}\right)$. Đường thẳng đi qua tâm đường tròn nội tiếp tam giác $OAB$ và vuông góc với mặt phẳng $(OAB)$ có phương trình là
A. $\dfrac{x+1}{1} = \dfrac{y-3}{-2} = \dfrac{z+1}{2}$.
B. $\dfrac{x+1}{1} = \dfrac{y-8}{-2} = \dfrac{z-4}{2}$.
C. $\dfrac{x+\frac{1}{3}}{1} = \dfrac{y-\frac{5}{3}}{-2} = \dfrac{z-\frac{11}{6}}{2}$.
D. $\dfrac{x+\frac{2}{9}}{1} = \dfrac{y-\frac{2}{9}}{-2} = \dfrac{z-\frac{5}{9}}{2}$.",A. (x+1)/1 = (y-3)/(-2) = (z+1)/2.,"Ta có $OA = 3, OB = 4, AB = 5$ suy ra tam giác $OAB$ vuông tại $O$. Gọi $I$ là tâm đường tròn nội tiếp tam giác $OAB$. Khi đó ta có
$$OB.\vec{IA} + OA.\vec{IB} + AB.\vec{IO} = \vec{0}.$$
Suy ra
$$\begin{cases} x_I = \dfrac{OB.x_A + BA.x_O + AO.x_B}{OA+OB+AB} = 0 \\ y_I = \dfrac{OB.y_A + BA.y_O + AO.y_B}{OA+OB+AB} = 1 \\ z_I = \dfrac{OB.z_A + BA.z_O + AO.z_B}{OA+OB+AB} = 1. \end{cases}$$
Do đó $I(0,1,1)$. Lại có $[\vec{OA},\vec{OB}] = 4(1,-2,2)$ là một vectơ chỉ phương của đường thẳng cần tìm. Thay tọa độ $I$ vào phương án A thấy thỏa mãn.",,,
114,KT-48 (Trang 71 - Câu 33),Tích phân - Nguyên hàm,"Họ nguyên hàm của hàm số $f(x) = 4x(1+\ln x)$ là
A. $2x^2\ln x + 3x^2$.
B. $2x^2\ln x + x^2$.
C. $2x^2\ln x + 3x^2 + C$.
D. $2x^2\ln x + x^2 + C$.",D. 2x^2 ln x + x^2 + C.,"$\displaystyle\int 4x(1+\ln x)\,\mathrm{d}x = \int (1+\ln x)\,\mathrm{d}(2x^2) = 2x^2(1+\ln x) - \int 2x^2\dfrac{1}{x}\,\mathrm{d}x = 2x^2(1+\ln x) - x^2 + C = 2x^2\ln x + x^2 + C$",,,
115,KT-49 (Trang 94 - Câu 7),Hình học không gian,"Cho khối chóp có diện tích đáy $B = 3$ và chiều cao $h = 4$. Thể tích của khối chóp đã cho bằng
A. 6.
B. 12.
C. 36.
D. 4.",D. 4.,Ta có công thức thể tích của khối chóp $V = \dfrac{1}{3}\cdot B \cdot h = \dfrac{1}{3}\cdot 3\cdot 4 = 4$.,,,
116,KT-50 (Trang 112 - Câu 30),Hàm số - Đạo hàm - Khảo sát,"Hàm số nào dưới đây nghịch biến trên $\mathbb{R}$?
A. $y = -x^3 - x$.
B. $y = -x^4 - x^2$.
C. $y = -x^3 + x$.
D. $y = \dfrac{x+2}{x-1}$.",A. y = -x^3 - x.,"Ta thấy hàm số $y=-x^3-x$ có
• Tập xác định $\mathscr{D} = \mathbb{R}$.
• $y' = -3x^2 - 1 < 0, \forall x \in \mathbb{R}$.
Vậy hàm số $y = -x^3 - x$ nghịch biến trên $\mathbb{R}$.",,,
117,KT-51 (Trang 156 - Câu 21),Hình giải tích Oxyz,"Trong không gian $Oxyz$, mặt phẳng đi qua điểm $A(1;2;-2)$ và vuông góc với đường thẳng $\Delta: \dfrac{x+1}{2} = \dfrac{y-2}{1} = \dfrac{z+3}{3}$ có phương trình là
A. $3x + 2y + z - 5 = 0$.
B. $2x + y + 3z + 2 = 0$.
C. $x + 2y + 3z + 1 = 0$.
D. $2x + y + 3z - 2 = 0$.",B. 2x + y + 3z + 2 = 0.,"Một véc-tơ chỉ phương của đường thẳng $\Delta$ là $\vec{u} = (2;1;3)$.
Vì mặt phẳng cần tìm vuông góc với đường thẳng $\Delta$ nên có véc-tơ pháp tuyến là $\vec{n} = \vec{u} = (2;1;3)$.
Phương trình mặt phẳng cần tìm là $2(x-1) + 1(y-2) + 3(z+2) = 0 \Leftrightarrow 2x + y + 3z + 2 = 0$.",,,
118,KT-52 (Trang 159 - Câu 30),Hàm số - Đạo hàm - Khảo sát,"Có bao nhiêu giá trị nguyên của tham số $m$ để hàm số $y = \dfrac{x+6}{x+5m}$ nghịch biến trên khoảng $(10;+\infty)$?
A. 3.
B. Vô số.
C. 4.
D. 5.",C. 4.,"Tập xác định $\mathscr{D} = \mathbb{R}\setminus\{-5m\}$.
Ta có $y' = \dfrac{5m-6}{(x+5m)^2}$.
Hàm số nghịch biến trên $(10;+\infty)$ khi chỉ khi $\begin{cases} y' < 0,\ \forall x \in \mathscr{D} \\ -5m \notin (10;+\infty) \end{cases} \Leftrightarrow \begin{cases} 5m - 6 < 0 \\ -5m \le 10 \end{cases} \Leftrightarrow \begin{cases} m < \dfrac{6}{5} \\ m \ge -2. \end{cases}$
Vì $m \in \mathbb{Z}$ nên $m \in \{-2;-1;0;1\}$.",,,
119,KT-53 (Trang 166 - Câu 46),Hình học không gian,"Cho khối lăng trụ $ABC.A'B'C'$, khoảng cách từ điểm $C$ đến đường thẳng $BB'$ bằng $\sqrt{5}$, khoảng cách từ $A$ đến các đường thẳng $BB'$ và $CC'$ lần lượt bằng $1$ và $2$, hình chiếu vuông góc của $A$ lên mặt phẳng $(A'B'C')$ là trung điểm $M$ của $B'C'$ và $A'M = \dfrac{\sqrt{15}}{3}$. Thể tích của khối lăng trụ đã cho bằng
A. $\dfrac{\sqrt{15}}{3}$.
B. $\dfrac{2\sqrt{5}}{3}$.
C. $\sqrt{5}$.
D. $\dfrac{2\sqrt{15}}{3}$.",D. 2√15/3.,"Kẻ $AI \perp BB'$, $AK \perp CC'$. Khoảng cách từ $A$ đến $BB', CC'$ lần lượt là $1; 2$ nên $AI=1, AK=2$.
Gọi $F$ là trung điểm của $BC$.
Vì $A'M = \dfrac{\sqrt{15}}{3} \Rightarrow AF = \dfrac{\sqrt{15}}{3}$.
Ta có $\begin{cases} AI \perp BB' \\ BB' \perp AK \end{cases} \Rightarrow BB' \perp (AIK) \Rightarrow BB' \perp IK$.
Vì $CC' \parallel BB'$ nên
$$\mathrm{d}(C,BB') = \mathrm{d}(K,BB') = IK = \sqrt{5}$$
$\Rightarrow \triangle AIK$ vuông tại $A$.
Gọi $E$ là trung điểm của $IK \Rightarrow EF \parallel BB' \Rightarrow EF \perp (AIK) \Rightarrow EF \perp AE$.
Mà $AM \perp (ABC)$ nên $\left((ABC),(AIK)\right) = \left(\widehat{EF,AM}\right) = \widehat{AME} = \widehat{FAE}$ ($\vec{EF}, \vec{AM}$ là véc-tơ pháp tuyến của của $(AKI), (ABC)$).
Ta có $\cos\widehat{FAE} = \dfrac{AE}{AF} = \dfrac{\frac{\sqrt{5}}{2}}{\frac{\sqrt{15}}{3}} = \dfrac{\sqrt{3}}{2} \Rightarrow \widehat{FAE}=30°$ ($AE$ là đường trung tuyến của tam giác $AKI$ vuông tại $A$).
Hình chiếu vuông góc của tam giác $ABC$ lên mặt phẳng $(AIK)$ là tam giác $AIK$ nên
$$S_{\triangle AIK} = S_{\triangle ABC}\cdot \cos\widehat{EAF} \Rightarrow S_{\triangle ABC} = \dfrac{S_{\triangle AIK}}{\cos\widehat{EAF}} = \dfrac{2}{\sqrt3}.$$
Xét tam giác $AMF$ vuông tại $A$, ta có $\tan\widehat{AMF} = \dfrac{AF}{AM} \Rightarrow AM = \dfrac{AF}{\tan\widehat{AMF}} = \sqrt5$.
Vậy $V_{ABC.A'B'C'} = \sqrt5\cdot\dfrac{2}{\sqrt3} = \dfrac{2\sqrt{15}}{3}$.",,,
120,KT-54 (Trang 172 - Câu 8),Tích phân - Nguyên hàm,"Biết tích phân $\displaystyle\int_{0}^{1} f(x)\,\mathrm{d}x = 3$ và $\displaystyle\int_{0}^{1} g(x)\,\mathrm{d}x = -4$. Khi đó $\displaystyle\int_{0}^{1} [f(x)+g(x)]\,\mathrm{d}x$ bằng
A. $-7$.
B. $7$.
C. $-1$.
D. $1$.",C. -1.,"Ta có $\displaystyle\int_{0}^{1} [f(x)+g(x)]\,\mathrm{d}x = \int_{0}^{1} f(x)\,\mathrm{d}x + \int_{0}^{1} g(x)\,\mathrm{d}x = 3 + (-4) = -1$.",,,
